_NAME_;_MODEL_;_SKU_
Контейнер с неразъемной крышкой РКС-250/1ОП, 250 мл, 159х130х30 мм, овальный, в упаковке 400 штук;17-0843;17-0843
Контейнер КД-110, 450 мл, диаметр 160 мм, без крышки, чёрный, 400 штук;17-0847;17-0847
Контейнер с неразъемной крышкой 250 мл, 137х142х34 мм, в упаковке 300 штук;17-0850;17-0850
Контейнер для соуса 50 мл, круглый с неразъемной крышкой, прозрачный, 1040 штук;17-0851;17-0851
Контейнер с неразъемной крышкой РК-15М(ОП), 1250 мл, 150х150х80 мм, в упаковке 570 штук;17-0879;17-0879
Контейнер с неразъемной крышкой РКС-350/1(ОП) 350 мл, 159х130х41 мм, овальный, в упаковке 375 штук;17-0884;17-0884
Контейнер для соуса 30 мл, круглый с неразъемной крышкой, прозрачный, полипропилен, 1760 штук;17-0951;17-0951
Контейнер с неразъемной крышкой SL-81, 266х205х90 мм, в упаковке 200 штук;17-0984;17-0984
Контейнер круглый, 375 мл, диаметр 144 мм, чёрный, 300 штук;17-1179;17-1179
Контейнер с неразъемной крышкой РК-21ТМ, 1550 мл, 218х141х68 мм, в упаковке 400 штук;17-1181;17-1181
Крышка для контейнеров 179х132 мм, размер 186х139 мм, прозрачная, 500 штук;17-1474;17-1474
Контейнер прямоугольный 1000 мл, 179х132х64 мм, прозрачный, 500 штук;17-1475;17-1475
Контейнер прямоугольный 1000 мл, 179х132х64 мм, чёрный, 500 штук;17-1476;17-1476
Контейнер прямоугольный 1500 мл, 179х132х89 мм, прозрачный, 500 штук;17-1477;17-1477
Контейнер прямоугольный 2000 мл, 179х132х125 мм, прозрачный, 500 штук;17-1478;17-1478
Контейнер прямоугольный 500 мл, 179х132х37 мм, прозрачный, 500 штук;17-1479;17-1479
Контейнер прямоугольный 500 мл, 179х132х37 мм, чёрный, 500 штук;17-1480;17-1480
Контейнер прямоугольный 750 мл, 179х132х46 мм, прозрачный, 500 штук;17-1481;17-1481
Контейнер прямоугольный 750 мл, 179х132х46 мм, чёрный, 500 штук;17-1482;17-1482
Контейнер для соуса 30 мл, круглый с неразъемной крышкой, прозрачный, 80 штук;17-1485;17-1485
Ланч-бокс БиоУп, 600 мл, 183х137х69 мм, сахарный тростник, 125 штук;17-1589;17-1589
Контейнер с неразъемной крышкой (Ш-011Т) 132х132х60 мм, 730 мл, 960 штук;17-1597;17-1597
Контейнер одноразовый 500 мл, 179х132х37 мм, без крышки, прозрачный, 500 штук;17-1602;17-1602
Контейнер одноразовый 750 мл, 179х132х46 мм, без крышки, прозрачный, 500 штук;17-1603;17-1603
Контейнер одноразовый 1000 мл, 179х132х64 мм, без крышки, прозрачный, 500 штук;17-1604;17-1604
Контейнер круглый без крышки, 250 мл, диаметр 95 мм, высота 66,7 мм, прозрачный, 1000 штук;17-1612;17-1612
Крышка для круглого контейнера, диаметр 95 мм, прозрачная, 1000 штук;17-1614;17-1614
Крышка для контейнера 186х139 мм, прозрачная, 500 штук;17-1618;17-1618
Крышка для бутылки с широким горлом, диаметр 38 мм, желтая, 100 штук в упаковке;17-1755;17-1755
Контейнер круглый без крышки, 500 мл, диаметр 144 мм, высота 59 мм, чёрный, 300 штук;17-1777;17-1777
Контейнер круглый без крышки, 750 мл, диаметр 144 мм, высота 83,6 мм, чёрный, 300 штук;17-1778;17-1778
Крышка для круглого контейнера, диаметр 144 мм, прозрачная, 300 штук;17-1779;17-1779
Крышка для бутылки ПЭТ с широким горлом 38 мм, зеленая, 100 штук в упаковке;17-1789;17-1789
Контейнер для соуса 50 мл, круглый с неразъемной крышкой, прозрачный, 1200 штук;17-1825;17-1825
Бутылка ПЭТ без крышки, 300 мл, широкое горло 38 мм, прозрачная, 100 штук в полиэтилене;17-1848;17-1848
Ланч-бокс ВПС, 1-секция, 195х150х70 мм, белый, 100 штук;17-1875;17-1875
Крышка для контейнеров РК-750, диаметр 160 мм, высота 30 мм, прозрачная, 800 штук;17-1918;17-1918
Контейнер-миска PR-750, 750 мл, диаметр 140 мм, прозрачная, 800 штук;17-1919;17-1919
Контейнер для соуса 80 мл, круглый, с неразъемной крышкой, прозрачный, 960 штук;17-1924;17-1924
Контейнер для соуса 30 мл, круглый с неразъемной крышкой, прозрачный, 80 штук;17-1959;17-1959
"Креманка ""Ромашка"" 250 мл, белая, без крышки, в коробке 2400 штук";17-1984;17-1984
Контейнер с неразъемной крышкой РК-9, 240 мл, 118х89х43 мм, в упаковке 1000 штук;17-2024;17-2024
Контейнер с неразъемной крышкой РК-10, 400 мл, 120х120х63 мм, в упаковке 600 штук;17-2025;17-2025
Контейнер с неразъемной крышкой РК-11, 640 мл, 130х130х58 мм, в упаковке 600 штук;17-2028;17-2028
Контейнер с неразъемной крышкой РК-11Л(КЛ), 1000 мл, 130х130х94 мм, в упаковке 500 штук;17-2030;17-2030
Контейнер с неразъемной крышкой РК-25ТКЛ, 2500 мл, 265х192х70 мм, в упаковке 120 штук;17-2040;17-2040
Контейнер с неразъемной крышкой РК-25КВ, 3330 мл, 265х192х90 мм, в упаковке 120 штук;17-2042;17-2042
Контейнер с неразъемной крышкой РК-30, 2200 мл, 236х170х65 мм, в упаковке 350 штук;17-2047;17-2047
Контейнер с неразъемной крышкой РК-40М, 1700 мл, 270х134х83 мм, в упаковке 200 штук;17-2055;17-2055
Контейнер с неразъемной крышкой РК-50КЛ, 2500 мл, 314х191х54 мм, в упаковке 180 штук;17-2056;17-2056
Крышка для контейнера С-25, 240х168х29 мм, прозрачная, в коробке 220 штук;17-2063;17-2063
Контейнер дно для суши С-25, 233х161х25 мм, чёрный, в коробке 220 штук;17-2064;17-2064
Контейнер для торта Т-245Д, диаметр 242 мм, высота 100 мм, белый, 150 штук;17-2117;17-2117
Крышка для контейнера Т-245К, диаметр 242 мм, высота 100 мм, прозрачная, 150 штук;17-2118;17-2118
Контейнер для торта Т-280Д, диаметр 280 мм, высота 42 мм, белый, 85 штук;17-2124;17-2124
Крышка для контейнера Т-280К, диаметр 280 мм, высота 135 мм, прозрачная, 85 штук;17-2125;17-2125
Контейнер для торта Т-350Д, диаметр 300 мм, высота 37 мм, белый, 50 штук;17-2127;17-2127
Крышка для контейнера Т-350К, диаметр 300 мм, высота 135 мм, прозрачная, 90 штук;17-2128;17-2128
Крышка для контейнера С-19, прозрачная, 188х133х24 мм, в коробке 420 штук;17-2139;17-2139
Контейнер дно для суши С-19, 182х127х25 мм, чёрный, в коробке 420 штук;17-2140;17-2140
Контейнер с неразъемной крышкой РК-38М, 2000 мл, 238х140х95 мм, в упаковке 220 штук;17-2156;17-2156
Контейнер с неразъемной крышкой РК-35М, 1800 мл, 236х130х93 мм, в упаковке 280 штук;17-2160;17-2160
Контейнер с неразъемной крышкой РК-14Т, 620 мл, 142х123х68 мм, 340 штук;17-2164;17-2164
Контейнер СК-251, 300 мл, диаметр 132 мм, без крышки, прозрачный, 1000 штук;17-2246;17-2246
Крышка для контейнеров СК-502, диаметр 132 мм, прозрачная, 1000 штук;17-2248;17-2248
Контейнер с неразъемной крышкой РК-11Д(М), 920 мл, 132х131х78 мм, в упаковке 600 штук;17-2282;17-2282
Контейнер с неразъемной крышкой РК-19, 800 мл, 222х117х53 мм, 480 штук;17-2361;17-2361
Контейнер СпК-190, 750 мл, диаметр 189 мм, без крышки, чёрный, 300 штук;17-2412;17-2412
Крышка для контейнера СпК-190, диаметр 190 мм, высота 38 мм, прозрачная, 300 штук;17-2413;17-2413
Крышка для контейнера СпК-190, диаметр 190 мм, плоская, высота 20 мм, прозрачная, 300 штук;17-2414;17-2414
Ланч-бокс ВПС, 1-секция, 257х206х(35+30) мм, чёрный, 200 штук;17-2419;17-2419
Контейнер СпК-190, 1000 мл, диаметр 189 мм, без крышки, прозрачный, 300 штук;17-2456;17-2456
Контейнер круглый, 950 мл, диаметр 173 мм, чёрный с прозрачной крышкой, 150 штук;17-2470;17-2470
Контейнер круглый, 530 мл, диаметр 152 мм, чёрный с прозрачной крышкой, 150 штук;17-2471;17-2471
Контейнер для кекса ПР-Т-85Д, диаметр 110 мм, прозрачный, 780 штук;17-2483;17-2483
Крышка для контейнера для кекса ПР-Т-85К, высота 8 см, прозрачная, 390 штук;17-2484;17-2484
Контейнер СпК-190, 750 мл, диаметр 189 мм, без крышки, прозрачный, 300 штук;17-2485;17-2485
Контейнер для соуса 70 мл, прямоугольный без крышки, 82х62х19 мм, чёрный, полистирол, в упаковке 3456 штук;17-2499;17-2499
Контейнер прямоугольный 1300 мл, 250х168х50, чёрный, с крышкой, в упаковке 100 штук;17-2519;17-2519
Контейнер прямоугольный 830 мл, 206х140х40 мм, чёрный, с крышкой, 150 штук;17-2522;17-2522
Контейнер СпК-190, 1000 мл, диаметр 189 мм, без крышки, чёрный, 300 штук;17-2524;17-2524
Бутылка без крышки ПЭТ, 500 мл, квадратная, широкое горло 38 мм, прозрачная, высокая, 100 штук в упаковке;17-2665;17-2665
Бутылка без крышки ПЭТ, 500 мл, широкое горло 38 мм, прозрачная, 100 штук в полиэтилене;17-2706;17-2706
Бутылка ПЭТ квадратная без крышки, 500 мл, широкое горло 38 мм, прозрачная, 100 штук в полиэтилене;17-2719;17-2719
Бутылка ПЭТ квадратная без крышки, 300 мл, широкое горло 38 мм, прозрачная, 100 штук в полиэтилене;17-2743;17-2743
Бутылка ПЭТ квадратная с крышкой, 1000 мл, широкое горло 38 мм, прозрачная, 50 штук в упаковке;17-2763;17-2763
Банка под пресервы без крышки 500 мл, диаметр 140 мм, прозрачная, 560 штук;17-2905;17-2905
Крышка к банкам под пресервы, диаметр 140 мм, прозрачная, 560 штук;17-2906;17-2906
Контейнер для соуса 80 мл, круглый с верхним закрытием крышки, прозрачный, 960 штук;17-2965;17-2965
Контейнер прямоугольный 700 мл, 200х160х50 мм, 2-секции, прозрачный, 100 штук (крышка 17-2975);17-2974;17-2974
Крышка для прямоугольных секционных контейнеров 200х160 мм, прозрачная, 100 штук;17-2975;17-2975
Контейнер для соуса 50 мл, круглый с верхним закрытием крышки, чёрный, 80 штук;17-2990;17-2990
Контейнер для соуса Оптима 80 мл, круглый без крышки, белый, 1100 штук;17-3117;17-3117
Банка под пресервы с крышкой, 360 мл, диаметр 112 мм, прозрачная, плошка, 216 штук;17-3201;17-3201
Банка под пресервы с крышкой, 500 мл, диаметр 112 мм, прозрачная, плошка, 198 штук;17-3202;17-3202
Контейнер под запайку 850 мл, 187х137х50 мм, чёрный, 480 штук;17-3601;17-3601
Контейнер под запайку 600 мл, 187х137х37 мм, чёрный, 480 штук;17-3643;17-3643
Крышка для круглого контейнера, диаметр 115 мм, высота 8 мм, прозрачная, 500 штук;17-4545;17-4545
Контейнер круглый, 250 мл, диаметр 115мм, высота 43,6 мм, чёрный, 500 штук;17-4547;17-4547
Контейнер круглый,  350 мл, диаметр 115 мм, высота 58,6 мм, прозрачный, 500 штук;17-4548;17-4548
Контейнер круглый без крышки, 350 мл, диаметр 115 мм, высота 58,6 мм, чёрный, 500 штук;17-4549;17-4549
Контейнер круглый, 500 мл, диаметр 115 мм, высота 82,6 мм, прозрачный, 500 штук;17-4550;17-4550
Контейнер круглый, 500 мл, диаметр 115 мм, высота 43,6 мм, чёрный, 500 штук;17-4551;17-4551
Контейнер-миска 500 мл, диаметр 145 мм, высота 63 мм, чёрный, 480 штук;17-6114;17-6114
Крышка для круглого контейнера, диаметр 145 мм, прозрачная, 480 штук;17-6115;17-6115
Контейнер прямоугольный одноразовый 500 мл, 108х82х115 мм, без крышки, прозрачный, 1000 штук;17-6162;17-6162
Контейнер одноразовый прямоугольный 125 мл, 108х82х30 мм, прозрачный, в упаковке 50 штук, в коробке 1000 штук;17-6163;17-6163
Контейнер прямоугольный одноразовый 350 мл, 108х82х75 мм, без крышки, прозрачный, в коробке 1000 штук;17-6187;17-6187
Контейнер-дно для кусочка торта треугольный, 330 мл, 176х95,5х63,7 мм, чёрный, в коробке 800 штук;17-6191;17-6191
Крышка для контейнера для кусочка торта, 176х95,5х63,7 мм, прозрачный, 800 штук в коробке;17-6192;17-6192
Контейнер дно для суши КД-009, 195х106х40 мм, чёрный, в коробке 1000 штук;17-6225;17-6225
Крышка для контейнера КД-009, 195х106х40 мм, прозрачная, в коробке 1000 штук;17-6226;17-6226
Контейнер круглый, 350 мл, диаметр 144 мм, чёрный, 540 штук;17-6239;17-6239
Контейнер-миска 500 мл, диаметр 144 мм, высота 70 мм, чёрный, 540 штук;17-6240;17-6240
Крышка для круглого контейнера, диаметр 144 мм, прозрачная, 540 штук;17-6241;17-6241
Контейнер КД-106 850 мл, диаметр 200 мм, с соусником, чёрный, 400 штук в упаковке;17-6244;17-6244
Крышка для контейнеров КД-106, диаметр 200 мм, прозрачная, 400 штук в упаковке;17-6245;17-6245
Крышка для контейнера КД-011, 201х125х36 мм, прозрачная, в коробке 540 штук;17-6255;17-6255
Крышка для контейнера 139х102 мм, полипропилен, прозрачная, 50 штук;17-8516;17-8516
Контейнер для сэндвичей, треугольный, с неразъемной крышкой, 168х58х78 мм, 340 мл, ПЭТ, в упаковке 330 штук;17-8544;17-8544
Бутылка без крышки Бочонок, 1 литр, узкое горло 28 мм, коричневая, 90 штук в полиэтилене;17-9627;17-9627
Ведро прозрачное без крышки с пластиковой ручкой, 5,8 литра, диаметр 230 мм, 35 штук (крышка 17-9702);17-9701;17-9701
Контейнер для сэндвичей, треугольный, с неразъемной крышкой, 170х70х82 мм, 430 мл, ПЭТ, в упаковке 480 штук;17-9748;17-9748
Держатель для туалетной бумаги пластмассовый;18-0003;18-0003
Мыло-пена картриджное Tork, 0,8 л;18-0010;18-0010
Диспенсер для мыла жидкого 0,55 л заливной белый пластик 22х7,5х8 см;18-0043;18-0043
Диспенсер для жидкого мыла Tork, S1/S11, белый пластик, 1 литр;18-0046;18-0046
Диспенсер для полотенец Tork Multifiold, пластик, белый;18-0047;18-0047
Диспенсер настольный Tork Xpressnap для бумажных салфеток;18-0049;18-0049
Жидкое мыло-гель для тела и волос Tork Premium S1 1л;18-0050;18-0050
Жидкое мыло Tork Premium mini S2 0,475 л;18-0051;18-0051
Держатель для бумажных полотенец пластмасса мраморный цвет;18-0064;18-0064
Диспенсер для туалетной бумаги Tork, пластик, белый;18-0065;18-0065
Диспенсер для листовых полотенец Tork Singlefold, мини для сложения ZZ и C, белый;18-0067;18-0067
Диспенсер для бумажных покрытий на унитаз Tork белый;18-0072;18-0072
Диспенсер для туалетной бумаги в стандартных рулонах Tork, белый;18-0097;18-0097
Мыло-пена картриджное Tork Luxury Premium, 0,8 л;18-0101;18-0101
Диспенсер для туалетной бумаги Tork Maxi, пластик, белый;18-0104;18-0104
Диспенсер для туалетной бумаги Tork в мини-рулонах, белый;18-0115;18-0115
Диспенсер для жидкого мыла Tork, S2, картридж, белый пластик, 0,475 литра;18-0117;18-0117
Диспенсер для жидкого мыла Tork, S2, картридж, чёрный пластик, 0,475 литра;18-0126;18-0126
Диспенсер для аэрозольного освежителя воздуха Tork, белый пластик;18-0127;18-0127
Гель-мыло жидкое для тела и волос Tork Premium mini, 0,475 л;18-0131;18-0131
Диспенсер для туалетной бумаги в стандартных рулонах Tork, чёрный;18-0142;18-0142
Диспенсер для гигиенических пакетов Tork белый;18-0143;18-0143
Диспенсер для полотенец с центральной вытяжкой Tork, пластиковый, чёрный;18-0146;18-0146
Диспенсер для туалетной бумаги в мини-рулонах Tork, чёрный;18-0147;18-0147
Диспенсер для листовых полотенец Tork Singlefold мини для сложения ZZ и C, чёрный;18-0149;18-0149
Диспенсер для листовой туалетной бумаги Tork, чёрный;18-0156;18-0156
Диспенсер Tork Matic для рулонных полотенец, белый;18-0158;18-0158
Диспенсер Tork Matic для рулонных полотенец  с сенсором Intuition белый;18-0159;18-0159
Диспенсер для жидкого мыла Tork, S1/S11, чёрный пластик, 1 литр;18-0166;18-0166
Диспенсер настольный Tork Xpressnap для бумажных салфеток, чёрный;18-0169;18-0169
Диспенсер Tork Xpressnap большой емкости, серый пластик;18-0170;18-0170
Диспенсер для протирочной бумаги настенный металлический 280х250х400 мм *1;18-0172;18-0172
Диспенсер для туалетной бумаги в больших и средних рулонах Veiro Jumbo *1;18-0178;18-0178
Жидкое крем-мыло Tork S1 Premium 1 л ультрамягкое 6 штук в упаковке;18-0193;18-0193
Диспенсер Tork Мини для рулонных полотенец с центральной вытяжкой, чёрный;18-0194;18-0194
Диспенсер Tork для рулонных полотенец с центральной вытяжкой, белый;18-0211;18-0211
Диспенсер для листовых полотенец Veiro Prima всех типов сложения, белый *4;18-0221;18-0221
Диспенсер для бумажных покрытий на унитаз Tork чёрный;18-0227;18-0227
Диспенсер Tork для туалетной бумаги в больших рулонах, чёрный;18-0229;18-0229
Диспенсер для листовых полотенец Tork Singlefold для сложения ZZ и C, белый;18-0234;18-0234
Диспенсер для туалетной бумаги Tork Elevation Midi-size, в миди-рулонах, белый;18-0235;18-0235
Диспенсер для полотенец с центральной вытяжкой Veiro Easyroll пластиковый *1*2;18-0237;18-0237
Жидкое мыло Tork Premium S1 для рук гигиеническое 1 л, в упаковке 6 штук;18-0239;18-0239
Корзина для мусора Tork Elevation пластик чёрный 5 л;18-0257;18-0257
Ведро для мусора 20 литров, с педалью, хром;18-0261;18-0261
Диспенсер для листовых полотенец Tork Singlefold для сложения ZZ и C, чёрный;18-0290;18-0290
Диспенсер для салфеток для лица белый Tork *1;18-0298;18-0298
Диспенсер программируемый аэрозольный Veiro;18-0343;18-0343
Диспенсер для листовой туалетной бумаги, Veiro, L-ONE * 1;18-0344;18-0344
Диспенсер для салфеток для лица белый Veiro Easynap maxi *1;18-0346;18-0346
Диспенсер напольный для протирочных материалов Veiro Wipstand * 2;18-0347;18-0347
Диспенсер Tork Reflex для рулонных полотенец с центральной вытяжкой, белый;18-0423;18-0423
Ведро для мусора с педалью хромированное 12 л;18-0443;18-0443
Диспенсер для бумажных салфеток Napkins дерево;18-0481;18-0481
Диспенсер настольный Tork Xpress для листовых полотенец, сложения Multifold, белый;18-0489;18-0489
Диспенсер для бумажных салфеток Napkins хром;18-0490;18-0490
Диспенсер Tork Xpress мини для листовых полотенец сложения Multifold, белый;18-0495;18-0495
Диспенсер для линии раздачи Tork Xpressnap, серый;18-0500;18-0500
Диспенсер Tork Xpress мини для листовых полотенец сложения Multifold, чёрный;18-0503;18-0503
Диспенсер для гиг покр пластик белый 315*58*423 Veiro SEATCOVER *6;18-0527;18-0527
Диспенсер настольный Tork Xpressnap для бумажных салфеток, серый;18-0529;18-0529
Корзина для мусора Tork без крышки  металлик 50 л;18-0530;18-0530
Диспенсер настольный Tork Xpress для листовых полотенец, сложения Multifold, чёрный;18-0531;18-0531
Диспенсер для туалетной бумаги Tork Elevation Mid-size в мини-рулонах, чёрный металлик;18-0533;18-0533
Диспенсер для мыла-пены Tork S4, 1 литр, чёрный металлик;18-0534;18-0534
Диспенсер Tork Matic для рулонных полотенец  с сенсором Intuition, белый;18-0535;18-0535
Диспенсер для листовых полотенец Tork Xpress, сложения Multifold, стальной;18-0536;18-0536
Диспенсер для мыла-пены Tork Intuition S4, сенсорный, 1 литр, чёрный металлик;18-0539;18-0539
Диспенсер туалетной бумаги пластиковый белый 310х130х320 мм;18-0576;18-0576
Диспенсер для туалетной бумаги Tork SmartOne, белый;18-0582;18-0582
Диспенсер для рулонных полотенец  с центральной вытяжкой белый/серый;18-0588;18-0588
Диспенсер Tork Elevation для туалетной бумаги Midi-size в миди-рулонах, чёрный;18-0593;18-0593
Диспенсер для туалетной бумаги в мини-рулонах Tork SmartOne, белый;18-0632;18-0632
Диспенсер для туалетной бумаги в мини-рулонах Tork SmartOne, чёрный;18-0633;18-0633
Мыло-пена Тоrk Premium Люкс S4 1 литр в упаковке 6 штук;18-0637;18-0637
Диспенсер для гигиенических покрытий на унитаз, 42,5х28,5 см, белый;18-0650;18-0650
Сменный картридж для освежителя воздуха Veiro Blue Tonic *12;18-0661;18-0661
Диспенсер для листовых полотенец V-сложения хром;18-0673;18-0673
Диспенсер для листовых полотенец Z-сложения хром;18-0675;18-0675
Диспенсер Veiro Professional для рулонных полотенец белый;18-0681;18-0681
Диспенсер туалетной бумаги пластиковый белый 260х130х240 мм;18-0708;18-0708
Освежитель воздуха для диспенсера AirWick дикий гранат спрей 250 мл *6;18-0731;18-0731
Диспенсер для листовых полотенец Tork PeakServe, белый;18-0848;18-0848
Диспенсер с центральной вытяжкой Tork Reflex, пластик, бирюзовый;18-0851;18-0851
Диспенсер для листовых полотенец Veiro Prima Steel металл матовый V/Z/W *1;18-0864;18-0864
Диспенсер для полотенец с центральной вытяжкой Tork Reflex, белый, пластик;18-0869;18-0869
Диспенсер сенсорный Focus для рулонных полотенец, (сеть или батарейки), чёрный;18-0875;18-0875
Диспенсер сенсорный Focus для рулонных полотенец, на батарейках, чёрный;18-0876;18-0876
Диспенсер сенсорный Focus для рулонных полотенец, на батарейках, белый;18-0877;18-0877
Диспенсер Focus для полотенец с центральной вытяжкой, чёрный;18-0879;18-0879
Диспенсер Focus для полотенец с центральной вытяжкой, белый;18-0880;18-0880
Диспенсер Focus для листовых полотенец Z/V сложения, чёрный;18-0881;18-0881
Диспенсер Focus Mini Jumbo для туалетной бумаги в средних рулонах, чёрный;18-0883;18-0883
Диспенсер Focus Mini Jumbo для туалетной бумаги в средних рулонах, белый;18-0884;18-0884
Диспенсер Focus для туалетной бумаги с центральной вытяжкой, чёрный;18-0885;18-0885
Диспенсер Focus для туалетной бумаги с центральной вытяжкой, белый;18-0886;18-0886
Диспенсер Focus для салфеток с боковой подачей, белый;18-0888;18-0888
Диспенсер Focus для салфеток с верхней подачей, белый;18-0890;18-0890
Диспенсер для мыла-пены/жидкого мыла/спрея наливной сенсорный 1000мл белый R-3004SP W *1;18-0958;18-0958
Ершик для туалета настенный с хромированной ручкой;18-1012;18-1012
Диспенсер для салфеток Tork Xpressnap Fit, для раздачи, N14,  пластик;18-1058;18-1058
Ведро Durable для мусора с педалью, 12 литров, 310 x 400 мм, темно-серое;18-1089;18-1089
Ведро Durable для мусора с педалью, 20 литров, 360 x 455 мм, темно-серое;18-1090;18-1090
Ведро Durable для мусора с педалью, 5 литров, 260 x 290 мм, темно-серый;18-1091;18-1091
Корзина Durable для мусора, 15 литров, 315 x 260 мм, cеребристый;18-1092;18-1092
Корзина Durable для мусора, 15 литров, 315 x 260 мм, серый;18-1093;18-1093
Корзина Durable для мусора, 15 литров, 315 x 260 мм, темно-серый;18-1094;18-1094
Корзина Durable для мусора, 15 литров, 315 x 260 мм, чёрный;18-1095;18-1095
Корзина Durable для мусора c перфорацией, 18,5 литров, 320 x 240 мм, серебристый;18-1096;18-1096
Корзина Durable для мусора c перфорацией, 18,5 литров, 320 x 240 мм, чёрный;18-1097;18-1097
Корзина Durable для мусора, с декоративной перфорацией, 18,5 литров, 320 x 240 мм, серебристый;18-1098;18-1098
Корзина Durable для мусора, с декоративной перфорацией, 18,5 литров, 320 x 240 мм, чёрный;18-1099;18-1099
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, серебристый;18-1100;18-1100
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, серый;18-1101;18-1101
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, темно-серый;18-1102;18-1102
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, чёрный;18-1103;18-1103
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, серебристый;18-1104;18-1104
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, серый;18-1105;18-1105
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, темно-серый;18-1106;18-1106
Корзина Durable для мусора с перфорацией, 15 литров, 315 x 260 мм, чёрный;18-1107;18-1107
Корзина для мусора Merida Stella Classic, 27 литров, металлик;18-1110;18-1110
Диспенсер для листовых полотенец Merida Stella Economy MAXI, V/Z сложения, металлический;18-1111;18-1111
Диспенсер для жидкого мыла Merida Stella Classic MAXI, 880 мл, металлический;18-1112;18-1112
Диспенсер для жидкого мыла Merida, сенсорный, 1 литр, АBS пластик;18-1114;18-1114
Диспенсер для бумажных покрытий Merida Harmony, ABS пластик;18-1116;18-1116
Диспенсер для листовых полотенец Merida Harmony, V-сложение, ABS пластик;18-1117;18-1117
Диспенсер для листовых полотенец Merida, Z-сложения, ABS пластик;18-1118;18-1118
Диспенсер для рулонных полотенец Merida Harmony, ABS пластик;18-1119;18-1119
Диспенсер для туалетной бумаги Merida Harmony MAXI, ABS пластик;18-1120;18-1120
Ёрш для туалета Merida Harmony, пластик, настенный;18-1121;18-1121
Корзина пластиковая Merida Harmony, 23 литра;18-1122;18-1122
Мыло пенное Merida Rivella, 700 мл, картриджное, антибактериальное;18-1132;18-1132
Диспенсер для туалетной бумаги Tork SmartOne мини, пластиковый, двойной, белый;18-1134;18-1134
Диспенсер для туалетной бумаги Tork SmartOne мини, пластиковый, двойной, чёрный;18-1135;18-1135
Ведро для мусора с педалью, 20 литров, металл;18-1150;18-1150
Корзина для мусора Tork пластик белый 50 л;18-2032;18-2032
Корзина для мусора Tork пластик чёрный 50 л;18-2040;18-2040
Ведро д/мусора 5л с педалью хром *1;18-2043;18-2043
Сменный картридж для освежителя воздуха Veiro зелёный чай *12;18-2106;18-2106
Крышка для мусорной корзины Tork Image Design объемом 50 л;18-2109;18-2109
Ведро для мусора с педалью, 10 литров, металлическое, черное;18-2125;18-2125
Освежитель воздуха для диспенсера Tork, цветочный аромат, 75 мл;18-3003;18-3003
Диспенсер для аэрозольного освежителя воздуха Discover белый пластик;18-3021;18-3021
Диспенсер для аэрозольного освежителя воздуха AirWick Freshmatic светло-бежевый пластик в комплекте с освежителем 250мл;18-3024;18-3024
Диспенсер для освежителя воздуха Nowa, автоматический, белый;18-3025;18-3025
Полотенца бумажные Tork Universal 1-слойные рулон 120 м с центральной вытяжкой;18-3145;18-3145
Диспенсер для аэрозольного освежителя воздуха Tork, серый пластик;18-3155;18-3155
Освежитель воздуха для диспенсера Tork, цитрусовый аромат, 75 мл;18-3161;18-3161
Освежитель воздуха для диспенсера Tork, нейтрализатор запахов, 75 мл;18-3184;18-3184
Освежитель воздуха для диспенсера AirWick Свежесть водопада, 250 мл, спрей;18-3185;18-3185
Сменный картридж для освежителя воздуха Veiro аромат яблоко *12;18-3209;18-3209
Сменный картридж для освежителя воздуха Veiro цитрусовый аромат *12;18-3210;18-3210
Освежитель воздуха для диспенсера 250 мл сухое распыление Royal fresh Лесной ручей*12;18-3221;18-3221
Освежитель воздуха для диспенсера  250 мл сухое распыление Royal fresh Вишня и фрезия*12;18-3222;18-3222
Освежитель воздуха для диспенсера Tork, тропический аромат, 75 мл;18-4024;18-4024
Полотенца бумажные Belux 2-слойные белые 13,5 м (2 рулона в упаковке);18-4129;18-4129
Жидкое мыло Tork S1 Premium 1 л;18-4211;18-4211
Диспенсер для мыла-пены Tork, S4, белый пластик, 1 литр;18-4221;18-4221
Диспенсер для бумажных салфеток Napkins белый;18-4222;18-4222
Диспенсер для жидкого мыла заливной белый пластик 0,5 л;18-4232;18-4232
Диспенсер для жидкого мыла заливной хромированный 0,5 л;18-4253;18-4253
Мыло-пена картриджное Tork Luxury Premium, 1 л;18-4280;18-4280
Мыло-пена картриджное Tork Premium, S4, 1 литр;18-7027;18-7027
Коробка для сэндвича Оригамо с прозрачным окном и замком-крючком, 127х127х55 мм, в коробке 200 штук;19-0071;19-0071
Крышка к салатному контейнеру 750 мл, d=150 мм, в упаковке 500 штук;19-0109;19-0109
Вилка столовая БиоУп, 152 мм, кукурузный крахмал, 100 штук, в коробке 1000 штук;19-0116;19-0116
Стакан пластиковый Эконом, 200 мл, PP, прозрачный, 100 штук в упаковке, 4200 штук в коробке;19-0181;19-0181
