_NAME_;_MODEL_;_SKU_
Шампуры для шашлыка Optiline, бамбуковые, 20 см, 100 штук в упаковке;10-3026;10-3026
Шампур для шашлыка Optiline, бамбук, 25 см, 100 штук в упаковке;10-3027;10-3027
Шампуры для шашлыка Optiline, бамбуковые, 30 см, 100 штук в упаковке;10-3028;10-3028
Трубочки для коктейля, черные, с гофрой, 8х240 мм *4800/100/1;10-3523;10-3523
Трубочки для коктейля цветные, 8х240 мм, с гофрой *4800/100/1;10-3526;10-3526
Трубочка гофрированная с изгибом, d=5 мм, 24 см, цветная, в упаковке 250 штук;10-3563;10-3563
Салфетки под чашку Tork, диаметр 9 см, 8-слойная, белый, 250 штук в упаковке, 12 упаковок в коробке;10-5088;10-5088
Свеча для торта Pap Star, цифра «0», 12 штук в коробке;10-6002;10-6002
Свеча для торта Pap Star, цифра «9», 12 штук в коробке;10-6011;10-6011
Свечи Pap Star столбик белые d=4 см h=9 см 10 штук в упаковке;10-6030;10-6030
Свечи Pap Star столбик белые d=6 см h=13 см 10 штук в упаковке;10-6032;10-6032
Свечи Pap Star столбик белые d=7 см h=20 см;10-6033;10-6033
Свечи Pap Star столбик кремовые d=6 см h=13 см 10 штук в упаковке;10-6041;10-6041
Свеча плавающая в гильзе TEXTOP ЭКОНОМ  100 штук в упаковке;10-6068;10-6068
Свеча коническая Pap Star красная d=2,2 см h=25 см, 50 штук в упаковке;10-6192;10-6192
Скатерть Pap Star рулонная, бумажная, 120 см х10 м, ламинированная, белая, 25 штук в упаковке;10-7007;10-7007
Трубочка гофрированная с изгибом, d=5 мм, 24 см, черная, в упаковке 250 штук;10-8038;10-8038
Трубочка без изгиба, диаметр 8 мм, 24 см, цветное ассорти, 250 штук;10-8050;10-8050
Трубочка без изгиба, диаметр 8 мм, 24 см, черная, 250 штук;10-8052;10-8052
Трубочка гофрированная с изгибом, d=5 мм, 21 см, цветные полосы, в упаковке 250 штук;10-8054;10-8054
Трубочка гофрированная с изгибом, d=5 мм, 21 см, прозрачная, в упаковке 250 штук;10-8055;10-8055
Трубочка гофрированная с изгибом, d=5 мм, 21 см, цветное ассорти, в упаковке 250 штук;10-8056;10-8056
Трубочка гофрированная с изгибом, d=5 мм, 21 см, черная, в упаковке 250 штук;10-8057;10-8057
Трубочка без изгиба, диаметр 8 мм, 24 см, красная, 250 штук;10-8061;10-8061
Трубочка без изгиба, диаметр 8 мм, 24 см, прозрачная, 500 штук в BOPP пленке;10-8069;10-8069
Трубочка без изгиба, диаметр 8 мм, 24 см, черная, утолщенная, 500 штук;10-8074;10-8074
Трубочка гофрированная с изгибом, d=5 мм, 24 см, прозрачная, в упаковке 250 штук;10-8076;10-8076
Трубочка без изгиба, диаметр 6,5 мм, 21 см, цветное ассорти, 250 штук;10-8085;10-8085
Бумага А4 IQ Color, 80 г/кв.м, канареечно-желтая, 500 листов в пачке, 5 пачек в упаковке;11-0004;11-0004
Бумага А4 IQ Color, 80 г/кв.м, кораллово-красная, 500 листов в пачке;11-0005;11-0005
Бумага А4 IQ Color, 80 г/кв.м, оранжевая, 500 листов в пачке;11-0006;11-0006
Бумага А4 IQ Color, 80 г/кв.м, солнечно-желтая (SY40), 500 листов в пачке;11-0007;11-0007
Бумага А4 IQ Color, 80 г/кв.м, ярко-зеленая, 500 листов в пачке;11-0008;11-0008
Бумага А4 IQ Color, 80 г/кв.м, светло-синий, 5 пачек в коробке;11-0018;11-0018
Бумага А4 IQ Color, 80 г/кв.м, зелёный неон, 500 листов в пачке, 5 пачек в коробке;11-0020;11-0020
Бумага А4 Color Copy, 220 г/кв.м, 250 листов в пачке, 5 пачек;11-0026;11-0026
Бумага А4 IQ Color, 80 г/кв.м, голубая, 500 листов в пачке;11-0031;11-0031
Бумага А4 IQ Color, 80 г/кв.м, горчичная (IG50), 500 листов в пачке;11-0035;11-0035
Бумага А4 IQ Color, 80 г/кв.м, желтый (YE23), 500 листов в пачке, 5 пачек в коробке;11-0046;11-0046
Бумага А4 IQ Color, 80 г/кв.м, кремовый CR20, 500 листов в пачке;11-0055;11-0055
Бумага А4 IQ Color, 80 г/кв.м, лимонно-желтая, 500 листов в пачке;11-0061;11-0061
Бумага А4 IQ Color, 80 г/кв.м, зеленая липа, 500 листов в пачке, 5 пачек в коробке;11-0062;11-0062
Бумага А4 IQ Color, 80 г/кв.м, оранжевый неон, 500 листов в пачке;11-0087;11-0087
Бумага А4 HP Premium, 80 г/кв.м, 161% CIE, 500 листов в пачке *5;11-0094;11-0094
Бумага для плоттера офсетная Lomond Премиум, 914мм х 45м, 80 г/кв.м, втулка 50,8 мм, 4 штуки в упаковке;11-0151;11-0151
Бумага SRA3 Lumi, 90 г/кв.м, глянцевая, 320x450 мм, 500 листов в пачке;11-0167;11-0167
Бумага А3 Svetocopy, 80 г/кв.м, белая, 500 листов в пачке;11-2002;11-2002
Бумага Ballet Classic, А4, 80 г/м, 500 листов в пачке *5;11-2003;11-2003
Бумага А4 IQ Allround, 80 г/м, 500 листов в пачке;11-2007;11-2007
Бумага А4 IQ Economy, 80 г/м, 500 листов в пачке *5;11-2008;11-2008
Бумага Svetocopy, А4, 80 г/кв.м, белая, 500 листов в пачке;11-2015;11-2015
Бумага А4 Color Copy, 160 г/кв.м, 250 листов в пачке, 5 пачек;11-2029;11-2029
Бумага А4 Color Copy, 90 г/кв.м, 500 листов в пачке;11-2035;11-2035
Бумага Снегурочка, А4, 80 г/м, 500 листов в пачке;11-2037;11-2037
Бумага А4 писчая, 500 листов в пачке, 5 пачек;11-2057;11-2057
Бумага А3 BALLET Classic, 80 г/м, 500 листов в пачке *5;11-2058;11-2058
Бумага А3 IQ Economy, 80 г/м, 500 листов в пачке;11-2059;11-2059
Бумага А3 Снегурочка, 80 г/м, 500 листов в пачке;11-2062;11-2062
Бумага А4 Color Copy, 100 г/кв.м, 500 листов в пачке;11-2070;11-2070
Бумага А4 Ballet Premier, 80 г/м, 500 листов в пачке;11-2075;11-2075
Бумага А4 Color Copy, 250 г/кв.м, 125 листов в пачке, 5 пачек;11-2076;11-2076
Бумага А3 IQ Allround, 80 г/м, 500 листов в пачке *5;11-2113;11-2113
Бумага А4 HP Office, 80 г/м, 500 листов в пачке;11-2526;11-2526
Бумага A4 Canon Top Color Zero, 100 г/кв.м, 500 листов в пачке, 5 пачки;11-2533;11-2533
Бумага A3 Canon Top Color Zero, 120 г/кв.м, 500 листов в пачке, 4 пачки;11-2535;11-2535
Полотенца бумажные листовые Tork Premium 2-слойные М-сложения 110 листов в упаковке;12-0007;12-0007
Полотенца бумажные листовые 1-слойные V-сложения 250 листов в упаковке;12-0009;12-0009
Полотенца бумажные Zewa, 2-слойные, в рулонах, белые, 2 рулона в упаковке;12-0022;12-0022
Полотенца бумажные Комфорт 1-слойные в рулонах, цвет натурально белый, 2 рулона в упаковке;12-0024;12-0024
Полотенца бумажные Tork Matic Soft 2-слойные рулон 100 м;12-0026;12-0026
