_ID_;_CATEGORY_;_NAME_;_MODEL_;_SKU_
3924;"Барные аксессуары и товары для сервировки|Зубочистки
Барные аксессуары и товары для сервировки";"Зубочистки 1000 штук, в индивидуальной упаковке, картонная коробка";;10-2008
3925;"Барные аксессуары и товары для сервировки|Зубочистки
Барные аксессуары и товары для сервировки";"Зубочистки Optiline, деревянные, в индивидуальной бумажной упаковке, 1000 штук";;10-2021
3926;"Барные аксессуары и товары для сервировки|Пики|Пики деревянные
Барные аксессуары и товары для сервировки";"Пики для канапе Optiline Узелок, бамбуковые, 6 см, 100 штук в упаковке";;10-2043
3927;"Барные аксессуары и товары для сервировки|Пики|Пики деревянные
Барные аксессуары и товары для сервировки";"Пики для канапе Optiline Гольф, бамбуковые, 18 см, 100 штук в упаковке";;10-2044
3928;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи конические
Барные аксессуары и товары для сервировки";"Свеча коническая Pap Star кремовая d=2,2 см h=25 см  50 штук в упаковке";;10-2914
3929;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи в стеклянном подсвечнике и прочее
Барные аксессуары и товары для сервировки";"Парафин сыпучий 25 кг в упаковке";;10-2987
3930;"Барные аксессуары и товары для сервировки|Шампуры барные
Барные аксессуары и товары для сервировки";"Шампуры для шашлыка Optiline, бамбуковые, 15 см, 100 штук в упаковке";;10-3023
3931;"Барные аксессуары и товары для сервировки|Шампуры барные
Барные аксессуары и товары для сервировки";"Шампуры для шашлыка Optiline, бамбуковые, 20 см, 100 штук в упаковке";;10-3026
3932;"Барные аксессуары и товары для сервировки|Шампуры барные
Барные аксессуары и товары для сервировки";"Шампур для шашлыка Optiline, бамбук, 25 см, 100 штук в упаковке";;10-3027
3933;"Барные аксессуары и товары для сервировки|Шампуры барные
Барные аксессуары и товары для сервировки";"Шампуры для шашлыка Optiline, бамбуковые, 30 см, 100 штук в упаковке";;10-3028
3934;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочки для коктейля, черные, с гофрой, 8х240 мм *4800/100/1";;10-3523
3935;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочки для коктейля цветные, 8х240 мм, с гофрой *4800/100/1";;10-3526
3936;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 24 см, цветная, в упаковке 250 штук";;10-3563
3937;"Барные аксессуары и товары для сервировки|Салфетки для сервировки и папильотки|Салфетки под чашку
Барные аксессуары и товары для сервировки";"Салфетки под чашку Tork, диаметр 9 см, 8-слойная, белый, 250 штук в упаковке, 12 упаковок в коробке";;10-5088
3938;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи для торта
Барные аксессуары и товары для сервировки";"Свеча для торта Pap Star, цифра «0», 12 штук в коробке";;10-6002
3939;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи для торта
Барные аксессуары и товары для сервировки";"Свеча для торта Pap Star, цифра «9», 12 штук в коробке";;10-6011
3940;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи столбик
Барные аксессуары и товары для сервировки";"Свечи Pap Star столбик белые d=4 см h=9 см 10 штук в упаковке";;10-6030
3941;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи столбик
Барные аксессуары и товары для сервировки";"Свечи Pap Star столбик белые d=6 см h=13 см 10 штук в упаковке";;10-6032
3942;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи столбик
Барные аксессуары и товары для сервировки";"Свечи Pap Star столбик белые d=7 см h=20 см";;10-6033
3943;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи столбик
Барные аксессуары и товары для сервировки";"Свечи Pap Star столбик кремовые d=6 см h=13 см 10 штук в упаковке";;10-6041
3944;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи плавающие
Барные аксессуары и товары для сервировки";"Свеча плавающая в гильзе TEXTOP ЭКОНОМ  100 штук в упаковке";;10-6068
3945;"Барные аксессуары и товары для сервировки|Свечи и подсвечники|Свечи конические
Барные аксессуары и товары для сервировки";"Свеча коническая Pap Star красная d=2,2 см h=25 см, 50 штук в упаковке";;10-6192
3946;"Барные аксессуары и товары для сервировки|Скатерти, подтарельники и нагрудники|Скатерти бумажные
Барные аксессуары и товары для сервировки";"Скатерть Pap Star рулонная, бумажная, 120 см х10 м, ламинированная, белая, 25 штук в упаковке";;10-7007
3947;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки гофрированные
Барные аксессуары и товары для сервировки";"Трубочка гофрированная с изгибом, d=5 мм, 24 см, черная, в упаковке 250 штук";;10-8038
3948;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 8 мм, 24 см, цветное ассорти, 250 штук";;10-8050
3949;"Барные аксессуары и товары для сервировки|Трубочки для напитков|Трубочки без изгиба
Барные аксессуары и товары для сервировки";"Трубочка без изгиба, диаметр 8 мм, 24 см, черная, 250 штук";;10-8052
